,z_aceites_grasas,z_azucar_dulces,z_bebidas_alcoholicas,z_bebidas_no_alcoholicas,z_cafe_te_infusiones,z_carnes_rojas,z_comida_fuera_hogar,z_frutas,z_frutos_secos_semillas,z_lacteos_huevos,z_menestras,z_pan_pasteleria_cereales,z_pescados_mariscos,z_pollo_aves,z_verduras_hortalizas
z_aceites_grasas,1.0,-0.07309098423176102,0.33435435214090786,0.21420011428437477,-0.15045859069403908,-0.06758935689236449,0.17898710138810248,-0.10536105675302122,0.11646572094268694,-0.035644238507873356,-0.12547298531781848,-0.010380559274566555,-0.33854717714183785,0.4349141220571194,-0.20303327267288726
z_azucar_dulces,-0.07309098423176102,1.0,-0.36561695565197533,-0.22419054368397984,0.5933524349276009,0.3597370367422634,-0.2834455285595223,0.7267803503353699,0.579052597437943,0.20940447565415435,0.6650336274808546,0.7036763699109976,0.20750951356623268,-0.2837146748793795,0.7733334374825692
z_bebidas_alcoholicas,0.33435435214090786,-0.36561695565197533,1.0,0.3797328421750917,-0.37476850054995475,-0.17205299118504405,0.2410627307669852,-0.24215004141273827,-0.17302579775948224,-0.10368879975973902,-0.3306184859663046,-0.27174928581580465,-0.26496326893633587,0.47694987206202416,-0.38979765384353854
z_bebidas_no_alcoholicas,0.21420011428437477,-0.22419054368397984,0.3797328421750917,1.0,0.13303158506393423,0.42734475349216705,0.666586004664016,0.2230721960414149,0.11789777283084049,0.36637214710490046,0.20042483714346745,0.2647964925755582,0.3495179665417138,0.7489892854239028,0.06193351016768918
z_cafe_te_infusiones,-0.15045859069403908,0.5933524349276009,-0.37476850054995475,0.13303158506393423,1.0,0.8407247711197438,0.28722295263555275,0.6855496118079607,0.6198460230092225,0.712763299488767,0.8883250113778949,0.8357538919518683,0.631088090432459,-0.07411686613417584,0.8812025821335358
z_carnes_rojas,-0.06758935689236449,0.3597370367422634,-0.17205299118504405,0.42734475349216705,0.8407247711197438,1.0,0.5436571261918639,0.6096889957821494,0.6455837056567039,0.8008288463774242,0.9030692113405303,0.834448452618976,0.6995217490032983,0.21095954888940774,0.7571484487793061
z_comida_fuera_hogar,0.17898710138810248,-0.2834455285595223,0.2410627307669852,0.666586004664016,0.28722295263555275,0.5436571261918639,1.0,0.0927000385873746,0.19482146040491594,0.5382410595181879,0.30368986666354625,0.24220512299886288,0.3829338042802727,0.5634301252604326,0.10131328248617158
z_frutas,-0.10536105675302122,0.7267803503353699,-0.24215004141273827,0.2230721960414149,0.6855496118079607,0.6096889957821494,0.0927000385873746,1.0,0.5662727517843349,0.41888699742311836,0.7867810539038981,0.7978456858507006,0.4783859633657178,0.16871554919311066,0.8063251122748651
z_frutos_secos_semillas,0.11646572094268694,0.579052597437943,-0.17302579775948224,0.11789777283084049,0.6198460230092225,0.6455837056567039,0.19482146040491594,0.5662727517843349,1.0,0.44974931247861905,0.7710869738998388,0.7787162588282723,0.32967911683738493,0.04939507294204536,0.6768218039052281
z_lacteos_huevos,-0.035644238507873356,0.20940447565415435,-0.10368879975973902,0.36637214710490046,0.712763299488767,0.8008288463774242,0.5382410595181879,0.41888699742311836,0.44974931247861905,1.0,0.7230830547123782,0.6417175421650383,0.6904702749747154,0.21258821609959822,0.6530708101994798
z_menestras,-0.12547298531781848,0.6650336274808546,-0.3306184859663046,0.20042483714346745,0.8883250113778949,0.9030692113405303,0.30368986666354625,0.7867810539038981,0.7710869738998388,0.7230830547123782,1.0,0.9443060635805242,0.6371712584234336,0.03792381656781,0.9147900054753584
z_pan_pasteleria_cereales,-0.010380559274566555,0.7036763699109976,-0.27174928581580465,0.2647964925755582,0.8357538919518683,0.834448452618976,0.24220512299886288,0.7978456858507006,0.7787162588282723,0.6417175421650383,0.9443060635805242,1.0,0.5233872153300055,0.10168732262602226,0.8986590189335535
z_pescados_mariscos,-0.33854717714183785,0.20750951356623268,-0.26496326893633587,0.3495179665417138,0.631088090432459,0.6995217490032983,0.3829338042802727,0.4783859633657178,0.32967911683738493,0.6904702749747154,0.6371712584234336,0.5233872153300055,1.0,0.09180538307090748,0.5792903599989195
z_pollo_aves,0.4349141220571194,-0.2837146748793795,0.47694987206202416,0.7489892854239028,-0.07411686613417584,0.21095954888940774,0.5634301252604326,0.16871554919311066,0.04939507294204536,0.21258821609959822,0.03792381656781,0.10168732262602226,0.09180538307090748,1.0,-0.1403400263198435
z_verduras_hortalizas,-0.20303327267288726,0.7733334374825692,-0.38979765384353854,0.06193351016768918,0.8812025821335358,0.7571484487793061,0.10131328248617158,0.8063251122748651,0.6768218039052281,0.6530708101994798,0.9147900054753584,0.8986590189335535,0.5792903599989195,-0.1403400263198435,1.0
